state_id,school_type,num_of_schools
6,computers,10450
7,computers,4825
8,computers,32284
9,computers,32031
10,computers,6085
11,computers,772
12,computers,963
13,computers,1112
14,computers,1269
15,computers,910
16,computers,758
17,computers,1284
18,computers,5731
19,computers,12124
20,computers,4654
21,computers,9902
22,computers,5552
23,computers,20806
24,computers,32523
25,computers,69
26,computers,127
27,computers,55893
28,computers,17785
29,computers,21141
30,computers,609
31,computers,41
32,computers,15520
33,computers,33138
34,computers,710
35,computers,232
1,with_ramp,3746
2,with_ramp,10157
3,with_ramp,4791
4,with_ramp,94
5,with_ramp,4388
6,with_ramp,6947
7,with_ramp,4218
8,with_ramp,31287
9,with_ramp,55872
10,with_ramp,18071
11,with_ramp,116
12,with_ramp,645
13,with_ramp,593
14,with_ramp,1702
15,with_ramp,878
16,with_ramp,760
17,with_ramp,2835
18,with_ramp,25504
19,with_ramp,32461
20,with_ramp,9818
21,with_ramp,23958
22,with_ramp,17550
23,with_ramp,44751
24,with_ramp,22403
25,with_ramp,44
26,with_ramp,214
27,with_ramp,58911
28,with_ramp,13498
29,with_ramp,15024
30,with_ramp,349
31,with_ramp,15
32,with_ramp,5813
33,with_ramp,22204
34,with_ramp,338
35,with_ramp,87
1,no_ramp,5956
2,no_ramp,11421
3,no_ramp,5490
4,no_ramp,106
5,no_ramp,5190
6,no_ramp,7704
7,no_ramp,4218
8,no_ramp,49417
9,no_ramp,64610
10,no_ramp,20841
11,no_ramp,232
12,no_ramp,778
13,no_ramp,719
14,no_ramp,1853
15,no_ramp,1202
16,no_ramp,957
17,no_ramp,3632
18,no_ramp,27968
19,no_ramp,35316
20,no_ramp,13270
21,no_ramp,27896
22,no_ramp,22518
23,no_ramp,54955
24,no_ramp,24194
25,no_ramp,47
26,no_ramp,216
27,no_ramp,63317
28,no_ramp,20081
29,no_ramp,17958
30,no_ramp,496
31,no_ramp,20
32,no_ramp,6525
33,no_ramp,30520
34,no_ramp,421
35,no_ramp,168
1,established_2001,13213
2,established_2001,3638
3,established_2001,5801
4,established_2001,37
5,established_2001,5912
6,established_2001,3910
7,established_2001,1379
8,established_2001,40692
9,established_2001,103836
10,established_2001,26359
11,established_2001,332
12,established_2001,2058
13,established_2001,618
14,established_2001,1237
15,established_2001,978
16,established_2001,1547
17,established_2001,4962
18,established_2001,8501
19,established_2001,23729
20,established_2001,22843
21,established_2001,14512
22,established_2001,18397
23,established_2001,40550
24,established_2001,9220
25,established_2001,28
26,established_2001,120
27,established_2001,19786
28,established_2001,15095
29,established_2001,13721
30,established_2001,163
31,established_2001,10
32,established_2001,2174
33,established_2001,8880
34,established_2001,137
35,established_2001,84
1,midday_meal,23201
2,midday_meal,15331
3,midday_meal,19901
4,midday_meal,116
5,midday_meal,17737
6,midday_meal,14642
7,midday_meal,3017
8,midday_meal,68943
9,midday_meal,164371
10,midday_meal,69140
11,midday_meal,855
12,midday_meal,3259
13,midday_meal,1888
14,midday_meal,3535
15,midday_meal,2343
16,midday_meal,4331
17,midday_meal,11059
18,midday_meal,53184
19,midday_meal,81548
20,midday_meal,40815
21,midday_meal,62536
22,midday_meal,44304
23,midday_meal,112875
24,midday_meal,33148
25,midday_meal,96
26,midday_meal,283
27,midday_meal,83058
28,midday_meal,45561
29,midday_meal,48067
30,midday_meal,1295
31,midday_meal,39
32,midday_meal,11320
33,midday_meal,45254
34,midday_meal,438
35,midday_meal,333
1,kitchen_shed,15074
2,kitchen_shed,14268
3,kitchen_shed,18042
4,kitchen_shed,7
5,kitchen_shed,15644
6,kitchen_shed,10092
7,kitchen_shed,0
8,kitchen_shed,52064
9,kitchen_shed,128771
10,kitchen_shed,41196
11,kitchen_shed,811
12,kitchen_shed,2061
13,kitchen_shed,1633
14,kitchen_shed,1516
15,kitchen_shed,2277
16,kitchen_shed,3945
17,kitchen_shed,9627
18,kitchen_shed,35980
19,kitchen_shed,67402
20,kitchen_shed,27597
21,kitchen_shed,43289
22,kitchen_shed,35208
23,kitchen_shed,65235
24,kitchen_shed,27027
25,kitchen_shed,82
26,kitchen_shed,52
27,kitchen_shed,65770
28,kitchen_shed,20650
29,kitchen_shed,37758
30,kitchen_shed,6
31,kitchen_shed,37
32,kitchen_shed,10528
33,kitchen_shed,42284
34,kitchen_shed,33
35,kitchen_shed,97
1,midday_kitchen,21674
2,midday_kitchen,15117
3,midday_kitchen,18565
4,midday_kitchen,7
5,midday_kitchen,17700
6,midday_kitchen,12701
7,midday_kitchen,0
8,midday_kitchen,64116
9,midday_kitchen,156437
10,midday_kitchen,65928
11,midday_kitchen,842
12,midday_kitchen,3150
13,midday_kitchen,1812
14,midday_kitchen,3202
15,midday_kitchen,2323
16,midday_kitchen,4273
17,midday_kitchen,10802
18,midday_kitchen,51698
19,midday_kitchen,78100
20,midday_kitchen,40248
21,midday_kitchen,59322
22,midday_kitchen,41546
23,midday_kitchen,84749
24,midday_kitchen,28122
25,midday_kitchen,96
26,midday_kitchen,283
27,midday_kitchen,74542
28,midday_kitchen,35387
29,midday_kitchen,39788
30,midday_kitchen,7
31,midday_kitchen,37
32,midday_kitchen,11281
33,midday_kitchen,43895
34,midday_kitchen,34
35,midday_kitchen,138
1,less_than_50_students,17560
2,less_than_50_students,12830
3,less_than_50_students,8598
4,less_than_50_students,1
5,less_than_50_students,15035
6,less_than_50_students,4409
7,less_than_50_students,85
8,less_than_50_students,35673
9,less_than_50_students,39438
10,less_than_50_students,2993
11,less_than_50_students,721
12,less_than_50_students,2169
13,less_than_50_students,942
14,less_than_50_students,2678
15,less_than_50_students,1658
16,less_than_50_students,1963
17,less_than_50_students,8366
18,less_than_50_students,30392
19,less_than_50_students,31271
20,less_than_50_students,14659
21,less_than_50_students,29565
22,less_than_50_students,20886
23,less_than_50_students,59699
24,less_than_50_students,9047
25,less_than_50_students,24
26,less_than_50_students,109
