,state_id,state_name,area_type,age_group,education_level,male,female,total
193,2,State - HIMACHAL PRADESH,Total,40-44,Total,222269,223291,445560
194,2,State - HIMACHAL PRADESH,Total,45-49,Total,197642,197486,395128
195,2,State - HIMACHAL PRADESH,Total,50-54,Total,165724,164963,330687
196,2,State - HIMACHAL PRADESH,Total,55-59,Total,135245,131615,266860
197,2,State - HIMACHAL PRADESH,Total,60-64,Total,115464,115908,231372
198,2,State - HIMACHAL PRADESH,Total,65-69,Total,78387,80220,158607
199,2,State - HIMACHAL PRADESH,Total,70-74,Total,62119,68468,130587
200,2,State - HIMACHAL PRADESH,Total,75-79,Total,36440,39266,75706
201,2,State - HIMACHAL PRADESH,Total,80+,Total,48465,58272,106737
202,2,State - HIMACHAL PRADESH,Total,Age not stated,Total,5353,4810,10163
203,2,State - HIMACHAL PRADESH,Rural,All ages,Total,3110345,3065705,6176050
204,2,State - HIMACHAL PRADESH,Rural,0-6,Total,372854,339968,712822
205,2,State - HIMACHAL PRADESH,Rural,7,Total,58014,53171,111185
206,2,State - HIMACHAL PRADESH,Rural,8,Total,55716,50577,106293
207,2,State - HIMACHAL PRADESH,Rural,9,Total,57600,50590,108190
208,2,State - HIMACHAL PRADESH,Rural,10,Total,64852,57482,122334
209,2,State - HIMACHAL PRADESH,Rural,11,Total,61000,54507,115507
210,2,State - HIMACHAL PRADESH,Rural,12,Total,60324,53913,114237
211,2,State - HIMACHAL PRADESH,Rural,13,Total,59005,53673,112678
212,2,State - HIMACHAL PRADESH,Rural,14,Total,60319,55190,115509
213,2,State - HIMACHAL PRADESH,Rural,15,Total,60443,54671,115114
214,2,State - HIMACHAL PRADESH,Rural,16,Total,59746,54335,114081
215,2,State - HIMACHAL PRADESH,Rural,17,Total,59015,53324,112339
216,2,State - HIMACHAL PRADESH,Rural,18,Total,64005,58515,122520
217,2,State - HIMACHAL PRADESH,Rural,19,Total,57345,54592,111937
218,2,State - HIMACHAL PRADESH,Rural,20-24,Total,285167,288272,573439
219,2,State - HIMACHAL PRADESH,Rural,25-29,Total,255016,268589,523605
220,2,State - HIMACHAL PRADESH,Rural,30-34,Total,239272,246103,485375
221,2,State - HIMACHAL PRADESH,Rural,35-39,Total,227906,231369,459275
222,2,State - HIMACHAL PRADESH,Rural,40-44,Total,195137,199498,394635
223,2,State - HIMACHAL PRADESH,Rural,45-49,Total,173489,177304,350793
224,2,State - HIMACHAL PRADESH,Rural,50-54,Total,145792,149619,295411
225,2,State - HIMACHAL PRADESH,Rural,55-59,Total,119998,120095,240093
226,2,State - HIMACHAL PRADESH,Rural,60-64,Total,105331,106932,212263
227,2,State - HIMACHAL PRADESH,Rural,65-69,Total,71950,74146,146096
228,2,State - HIMACHAL PRADESH,Rural,70-74,Total,57250,63682,120932
229,2,State - HIMACHAL PRADESH,Rural,75-79,Total,33561,36397,69958
230,2,State - HIMACHAL PRADESH,Rural,80+,Total,45339,54704,100043
231,2,State - HIMACHAL PRADESH,Rural,Age not stated,Total,4899,4487,9386
232,2,State - HIMACHAL PRADESH,Urban,All ages,Total,371528,317024,688552
233,2,State - HIMACHAL PRADESH,Urban,0-6,Total,34605,30471,65076
234,2,State - HIMACHAL PRADESH,Urban,7,Total,5828,5026,10854
235,2,State - HIMACHAL PRADESH,Urban,8,Total,5877,4954,10831
236,2,State - HIMACHAL PRADESH,Urban,9,Total,5974,4936,10910
237,2,State - HIMACHAL PRADESH,Urban,10,Total,6795,5467,12262
238,2,State - HIMACHAL PRADESH,Urban,11,Total,6693,5247,11940
239,2,State - HIMACHAL PRADESH,Urban,12,Total,6475,5118,11593
240,2,State - HIMACHAL PRADESH,Urban,13,Total,6331,5116,11447
241,2,State - HIMACHAL PRADESH,Urban,14,Total,6446,5271,11717
242,2,State - HIMACHAL PRADESH,Urban,15,Total,6782,5482,12264
243,2,State - HIMACHAL PRADESH,Urban,16,Total,6912,5417,12329
244,2,State - HIMACHAL PRADESH,Urban,17,Total,6706,5540,12246
245,2,State - HIMACHAL PRADESH,Urban,18,Total,8260,5979,14239
246,2,State - HIMACHAL PRADESH,Urban,19,Total,7515,5877,13392
247,2,State - HIMACHAL PRADESH,Urban,20-24,Total,38553,31874,70427
248,2,State - HIMACHAL PRADESH,Urban,25-29,Total,35109,30446,65555
249,2,State - HIMACHAL PRADESH,Urban,30-34,Total,31981,29001,60982
250,2,State - HIMACHAL PRADESH,Urban,35-39,Total,30324,28367,58691
251,2,State - HIMACHAL PRADESH,Urban,40-44,Total,27132,23793,50925
252,2,State - HIMACHAL PRADESH,Urban,45-49,Total,24153,20182,44335
253,2,State - HIMACHAL PRADESH,Urban,50-54,Total,19932,15344,35276
254,2,State - HIMACHAL PRADESH,Urban,55-59,Total,15247,11520,26767
255,2,State - HIMACHAL PRADESH,Urban,60-64,Total,10133,8976,19109
