,state_id,area_type,education_level,age_group,number_of_women,number_of_married_women,male_children,female_children,fertility_rate
8531,22,Total,Middle but below matric or secondary,20-24,256460,189342,107691,103346,0.82
8532,22,Total,Middle but below matric or secondary,25-29,181215,169559,170767,164648,1.85
8533,22,Total,Middle but below matric or secondary,30-34,125086,121834,156805,149636,2.45
8534,22,Total,Middle but below matric or secondary,35-39,85964,84355,122056,116398,2.77
8535,22,Total,Middle but below matric or secondary,40-44,49929,49262,76878,72649,2.99
8536,22,Total,Middle but below matric or secondary,45-49,29467,29089,48157,44841,3.16
8537,22,Total,Middle but below matric or secondary,50-54,18637,18463,33293,30315,3.41
8538,22,Total,Middle but below matric or secondary,55-59,12599,12433,24152,21836,3.65
8539,22,Total,Middle but below matric or secondary,60-64,8165,7693,15294,14053,3.59
8540,22,Total,Middle but below matric or secondary,65-69,5030,3859,7661,6825,2.88
8541,22,Total,Middle but below matric or secondary,70-74,2302,2159,4120,3841,3.46
8542,22,Total,Middle but below matric or secondary,75-79,1110,1027,2173,1913,3.68
8543,22,Total,Middle but below matric or secondary,80+,2429,1616,2435,2210,1.91
8544,22,Total,Matric or secondary but below graduate,All Ages,1040535,554574,512116,473190,0.95
8545,22,Total,Matric or secondary but below graduate,Less than 15,0,0,0,0,
8546,22,Total,Matric or secondary but below graduate,15-19,347617,28044,3800,3552,0.02
8547,22,Total,Matric or secondary but below graduate,20-24,263414,126603,55444,52519,0.41
8548,22,Total,Matric or secondary but below graduate,25-29,131950,114760,94767,88770,1.39
8549,22,Total,Matric or secondary but below graduate,30-34,95396,90849,97597,91011,1.98
8550,22,Total,Matric or secondary but below graduate,35-39,70378,68157,81505,75264,2.23
8551,22,Total,Matric or secondary but below graduate,40-44,46880,45703,58903,53753,2.4
8552,22,Total,Matric or secondary but below graduate,45-49,30570,29756,40827,37054,2.55
8553,22,Total,Matric or secondary but below graduate,50-54,20129,19623,29223,26287,2.76
8554,22,Total,Matric or secondary but below graduate,55-59,13825,13443,21468,19258,2.95
8555,22,Total,Matric or secondary but below graduate,60-64,8712,8439,13790,12544,3.02
8556,22,Total,Matric or secondary but below graduate,65-69,5388,4312,7270,6422,2.54
8557,22,Total,Matric or secondary but below graduate,70-74,2419,2152,3552,3221,2.8
8558,22,Total,Matric or secondary but below graduate,75-79,1088,978,1834,1570,3.13
8559,22,Total,Matric or secondary but below graduate,80+,1849,1241,1679,1548,1.75
8560,22,Total,Graduate and above,All Ages,359772,267715,210681,190731,1.12
8561,22,Total,Graduate and above,Less than 15,0,0,0,0,
8562,22,Total,Graduate and above,15-19,0,0,0,0,
8563,22,Total,Graduate and above,20-24,73995,24489,6924,6525,0.18
8564,22,Total,Graduate and above,25-29,89672,62079,32480,29909,0.7
8565,22,Total,Graduate and above,30-34,65538,58164,45860,41672,1.34
8566,22,Total,Graduate and above,35-39,46833,43996,40084,36043,1.63
8567,22,Total,Graduate and above,40-44,32758,31141,31098,27717,1.8
8568,22,Total,Graduate and above,45-49,22274,21207,22161,20156,1.9
8569,22,Total,Graduate and above,50-54,12607,11946,13733,12231,2.06
8570,22,Total,Graduate and above,55-59,7100,6622,7958,7179,2.13
8571,22,Total,Graduate and above,60-64,4330,4017,5226,4763,2.31
8572,22,Total,Graduate and above,65-69,2048,1881,2559,2282,2.36
8573,22,Total,Graduate and above,70-74,1045,909,1247,1114,2.26
8574,22,Total,Graduate and above,75-79,439,395,536,448,2.24
8575,22,Total,Graduate and above,80+,709,572,625,509,1.6
8576,22,Rural,Total,All Ages,9810535,5448698,8450205,8047795,1.68
8577,22,Rural,Total,Less than 15,3228086,18794,4384,4030,0.0
8578,22,Rural,Total,15-19,988717,152302,36638,34588,0.07
8579,22,Rural,Total,20-24,888767,667610,402292,389382,0.89
8580,22,Rural,Total,25-29,737655,693253,743834,720728,1.99
8581,22,Rural,Total,30-34,683545,667540,958230,933816,2.77
8582,22,Rural,Total,35-39,666074,657429,1097611,1077356,3.27
8583,22,Rural,Total,40-44,588938,583744,1076268,1038014,3.59
8584,22,Rural,Total,45-49,481879,478888,924574,877412,3.74
8585,22,Rural,Total,50-54,364932,363156,725055,675626,3.84
8586,22,Rural,Total,55-59,312099,310881,637868,591198,3.94
8587,22,Rural,Total,60-64,314817,311708,646474,600917,3.96
8588,22,Rural,Total,65-69,234210,230988,499308,463159,4.11
8589,22,Rural,Total,70-74,160401,159317,352733,325321,4.23
8590,22,Rural,Total,75-79,73190,72750,167430,153861,4.39
8591,22,Rural,Total,80+,80480,77136,172818,158170,4.11
8592,22,Rural,Illiterate,All Ages,5204591,3367032,6023084,5729322,2.26
8593,22,Rural,Illiterate,Less than 15,1671519,4330,2399,2220,0.0
8594,22,Rural,Illiterate,15-19,145340,43776,15668,14858,0.21
8595,22,Rural,Illiterate,20-24,233364,199387,133680,130944,1.13
8596,22,Rural,Illiterate,25-29,276385,264374,308805,301132,2.21
8597,22,Rural,Illiterate,30-34,338754,332234,513980,506022,3.01
8598,22,Rural,Illiterate,35-39,411810,407561,719000,711062,3.47
8599,22,Rural,Illiterate,40-44,422281,419270,802304,776032,3.74
8600,22,Rural,Illiterate,45-49,373541,371832,734491,697147,3.83
8601,22,Rural,Illiterate,50-54,292625,291541,587948,548463,3.88
8602,22,Rural,Illiterate,55-59,259334,258601,532767,493386,3.96
8603,22,Rural,Illiterate,60-64,275605,274568,569049,528787,3.98
8604,22,Rural,Illiterate,65-69,211581,210576,454498,422455,4.14
8605,22,Rural,Illiterate,70-74,148864,148229,327796,302629,4.23
8606,22,Rural,Illiterate,75-79,68242,67974,156371,143869,4.4
8607,22,Rural,Illiterate,80+,71897,70869,161101,147488,4.29
8608,22,Rural,Literate,All Ages,4605944,2081666,2427121,2318473,1.03
8609,22,Rural,Literate,Less than 15,1556567,14464,1985,1810,0.0
8610,22,Rural,Literate,15-19,843377,108526,20970,19730,0.05
8611,22,Rural,Literate,20-24,655403,468223,268612,258438,0.8
8612,22,Rural,Literate,25-29,461270,428879,435029,419596,1.85
8613,22,Rural,Literate,30-34,344791,335306,444250,427794,2.53
8614,22,Rural,Literate,35-39,254264,249868,378611,366294,2.93
8615,22,Rural,Literate,40-44,166657,164474,273964,261982,3.22
8616,22,Rural,Literate,45-49,108338,107056,190083,180265,3.42
8617,22,Rural,Literate,50-54,72307,71615,137107,127163,3.65
8618,22,Rural,Literate,55-59,52765,52280,105101,97812,3.85
8619,22,Rural,Literate,60-64,39212,37140,77425,72130,3.81
8620,22,Rural,Literate,65-69,22629,20412,44810,40704,3.78
8621,22,Rural,Literate,70-74,11537,11088,24937,22692,4.13
8622,22,Rural,Literate,75-79,4948,4776,11059,9992,4.25
8623,22,Rural,Literate,80+,8583,6267,11717,10682,2.61
8624,22,Rural,Literate but below primary,All Ages,1340802,394794,592042,565579,0.86
8625,22,Rural,Literate but below primary,Less than 15,886440,4604,402,407,0.0
8626,22,Rural,Literate but below primary,15-19,58886,10899,2761,2651,0.09
8627,22,Rural,Literate but below primary,20-24,58613,48357,31496,30296,1.05
8628,22,Rural,Literate but below primary,25-29,55412,53296,60529,58440,2.15
8629,22,Rural,Literate but below primary,30-34,58954,57967,85339,82405,2.85
8630,22,Rural,Literate but below primary,35-39,56753,56262,92123,89565,3.2
8631,22,Rural,Literate but below primary,40-44,46674,46353,81935,79081,3.45
8632,22,Rural,Literate but below primary,45-49,35196,35010,64750,61948,3.6
8633,22,Rural,Literate but below primary,50-54,25182,25089,49422,45924,3.79
8634,22,Rural,Literate but below primary,55-59,19572,19515,39840,37245,3.94
8635,22,Rural,Literate but below primary,60-64,16654,16259,34695,32714,4.05
8636,22,Rural,Literate but below primary,65-69,10604,10393,23619,21786,4.28
8637,22,Rural,Literate but below primary,70-74,5798,5747,13497,12435,4.47
8638,22,Rural,Literate but below primary,75-79,2544,2532,6148,5652,4.64
8639,22,Rural,Literate but below primary,80+,2647,2341,5243,4817,3.8
8640,22,Rural,Primary but below middle,All Ages,1480598,725816,880021,845472,1.17
8641,22,Rural,Primary but below middle,Less than 15,557680,7472,894,810,0.0
8642,22,Rural,Primary but below middle,15-19,195294,35813,8075,7644,0.08
8643,22,Rural,Primary but below middle,20-24,197630,166053,104590,101026,1.04
8644,22,Rural,Primary but below middle,25-29,156115,150301,162658,157777,2.05
8645,22,Rural,Primary but below middle,30-34,116808,114562,159297,155107,2.69
8646,22,Rural,Primary but below middle,35-39,88042,87023,137567,134004,3.08
8647,22,Rural,Primary but below middle,40-44,59004,58465,100286,96209,3.33
8648,22,Rural,Primary but below middle,45-49,39626,39313,71318,67767,3.51
8649,22,Rural,Primary but below middle,50-54,26667,26486,51461,47941,3.73
8650,22,Rural,Primary but below middle,55-59,18858,18747,38272,35645,3.92
8651,22,Rural,Primary but below middle,60-64,12797,11629,24505,22523,3.67
8652,22,Rural,Primary but below middle,65-69,5451,4930,10885,9744,3.78
8653,22,Rural,Primary but below middle,70-74,2429,2292,5190,4693,4.07
8654,22,Rural,Primary but below middle,75-79,900,864,2029,1800,4.25
8655,22,Rural,Primary but below middle,80+,2438,1496,2558,2353,2.01
8656,22,Rural,Middle but below matric or secondary,All Ages,1021593,535745,539521,516555,1.03
8657,22,Rural,Middle but below matric or secondary,Less than 15,100446,2138,585,512,0.01
8658,22,Rural,Middle but below matric or secondary,15-19,362036,40696,7113,6565,0.04
8659,22,Rural,Middle but below matric or secondary,20-24,203791,151606,86182,82801,0.83
8660,22,Rural,Middle but below matric or secondary,25-29,137395,129385,132398,127673,1.89
8661,22,Rural,Middle but below matric or secondary,30-34,92615,90606,118912,113903,2.51
8662,22,Rural,Middle but below matric or secondary,35-39,58540,57480,85106,81999,2.85
8663,22,Rural,Middle but below matric or secondary,40-44,29910,29498,47251,45268,3.09
8664,22,Rural,Middle but below matric or secondary,45-49,14660,14433,24619,23058,3.25
8665,22,Rural,Middle but below matric or secondary,50-54,8542,8446,15615,14565,3.53
8666,22,Rural,Middle but below matric or secondary,55-59,5684,5589,11113,10277,3.76
8667,22,Rural,Middle but below matric or secondary,60-64,3093,2816,5695,5431,3.6
8668,22,Rural,Middle but below matric or secondary,65-69,1993,1172,2281,2036,2.17
8669,22,Rural,Middle but below matric or secondary,70-74,650,558,1005,909,2.94
8670,22,Rural,Middle but below matric or secondary,75-79,295,249,457,449,3.07
8671,22,Rural,Middle but below matric or secondary,80+,1414,806,906,845,1.24
8672,22,Rural,Matric or secondary but below graduate,All Ages,538135,254811,213053,201353,0.77
8673,22,Rural,Matric or secondary but below graduate,Less than 15,0,0,0,0,
8674,22,Rural,Matric or secondary but below graduate,15-19,212709,17655,2267,2129,0.02
8675,22,Rural,Matric or secondary but below graduate,20-24,152582,77823,34763,33173,0.45
8676,22,Rural,Matric or secondary but below graduate,25-29,69069,60860,52302,49581,1.48
8677,22,Rural,Matric or secondary but below graduate,30-34,44570,42585,47824,45276,2.09
8678,22,Rural,Matric or secondary but below graduate,35-39,27343,26366,32931,31318,2.35
8679,22,Rural,Matric or secondary but below graduate,40-44,14158,13712,18669,17423,2.55
8680,22,Rural,Matric or secondary but below graduate,45-49,7076,6782,9795,9097,2.67
8681,22,Rural,Matric or secondary but below graduate,50-54,3964,3786,5954,5578,2.91
8682,22,Rural,Matric or secondary but below graduate,55-59,2728,2615,4510,4149,3.17
8683,22,Rural,Matric or secondary but below graduate,60-64,1392,1294,2291,2094,3.15
8684,22,Rural,Matric or secondary but below graduate,65-69,1048,502,793,696,1.42
8685,22,Rural,Matric or secondary but below graduate,70-74,356,249,347,318,1.87
8686,22,Rural,Matric or secondary but below graduate,75-79,154,99,161,131,1.9
8687,22,Rural,Matric or secondary but below graduate,80+,697,352,347,290,0.91
8688,22,Rural,Graduate and above,All Ages,79922,55694,39675,36782,0.96
8689,22,Rural,Graduate and above,Less than 15,0,0,0,0,
8690,22,Rural,Graduate and above,15-19,0,0,0,0,
8691,22,Rural,Graduate and above,20-24,22174,8399,2483,2471,0.22
8692,22,Rural,Graduate and above,25-29,25215,18133,10212,9610,0.79
8693,22,Rural,Graduate and above,30-34,15586,13737,11216,10413,1.39
8694,22,Rural,Graduate and above,35-39,8627,7983,7431,6968,1.67
8695,22,Rural,Graduate and above,40-44,4149,3801,4046,3498,1.82
8696,22,Rural,Graduate and above,45-49,2066,1881,2102,1883,1.93
8697,22,Rural,Graduate and above,50-54,941,843,1024,925,2.07
8698,22,Rural,Graduate and above,55-59,469,388,501,432,1.99
8699,22,Rural,Graduate and above,60-64,274,222,296,296,2.16
8700,22,Rural,Graduate and above,65-69,142,118,163,142,2.15
8701,22,Rural,Graduate and above,70-74,78,45,59,50,1.4
8702,22,Rural,Graduate and above,75-79,31,22,20,10,0.97
8703,22,Rural,Graduate and above,80+,118,91,103,61,1.39
8704,22,Urban,Total,All Ages,2901768,1641374,2220764,2049030,1.47
8705,22,Urban,Total,Less than 15,803516,5578,1416,1257,0.0
8706,22,Urban,Total,15-19,291674,33960,8030,7288,0.05
8707,22,Urban,Total,20-24,307352,175644,94516,90224,0.6
8708,22,Urban,Total,25-29,270407,230976,204046,193743,1.47
8709,22,Urban,Total,30-34,233490,221178,258467,243697,2.15
8710,22,Urban,Total,35-39,222075,216404,295941,277697,2.58
8711,22,Urban,Total,40-44,191213,187756,286194,266238,2.89
8712,22,Urban,Total,45-49,159521,157203,261225,239843,3.14
8713,22,Urban,Total,50-54,117689,116179,209429,187464,3.37
8714,22,Urban,Total,55-59,87916,86862,166602,148797,3.59
8715,22,Urban,Total,60-64,79969,78426,155208,140859,3.7
8716,22,Urban,Total,65-69,55264,53665,113028,101366,3.88
8717,22,Urban,Total,70-74,38350,37746,81077,73353,4.03
8718,22,Urban,Total,75-79,17843,17591,39954,35822,4.25
8719,22,Urban,Total,80+,21226,19918,42960,38922,3.86
8720,22,Urban,Illiterate,All Ages,935683,526232,937459,869398,1.93
8721,22,Urban,Illiterate,Less than 15,386334,674,392,353,0.0
8722,22,Urban,Illiterate,15-19,16466,5108,2234,2045,0.26
8723,22,Urban,Illiterate,20-24,29850,24900,17479,16944,1.15
8724,22,Urban,Illiterate,25-29,39391,37310,42943,41732,2.15
8725,22,Urban,Illiterate,30-34,48989,47719,70644,68215,2.83
8726,22,Urban,Illiterate,35-39,63513,62686,104766,100854,3.24
8727,22,Urban,Illiterate,40-44,66625,66002,119485,113185,3.49
8728,22,Urban,Illiterate,45-49,63102,62665,120480,111468,3.68
8729,22,Urban,Illiterate,50-54,51184,50898,101986,91561,3.78
8730,22,Urban,Illiterate,55-59,41888,41702,86340,77389,3.91
8731,22,Urban,Illiterate,60-64,44377,44117,90475,82633,3.9
8732,22,Urban,Illiterate,65-69,32792,32554,70370,63359,4.08
8733,22,Urban,Illiterate,70-74,25033,24871,54174,49169,4.13
8734,22,Urban,Illiterate,75-79,11196,11120,25442,22943,4.32
8735,22,Urban,Illiterate,80+,13581,13226,29258,26608,4.11
8736,22,Urban,Literate,All Ages,1966085,1115142,1283305,1179632,1.25
8737,22,Urban,Literate,Less than 15,417182,4904,1024,904,0.0
8738,22,Urban,Literate,15-19,275208,28852,5796,5243,0.04
8739,22,Urban,Literate,20-24,277502,150744,77037,73280,0.54
8740,22,Urban,Literate,25-29,231016,193666,161103,152011,1.36
8741,22,Urban,Literate,30-34,184501,173459,187823,175482,1.97
8742,22,Urban,Literate,35-39,158562,153718,191175,176843,2.32
8743,22,Urban,Literate,40-44,124588,121754,166709,153053,2.57
8744,22,Urban,Literate,45-49,96419,94538,140745,128375,2.79
8745,22,Urban,Literate,50-54,66505,65281,107443,95903,3.06
8746,22,Urban,Literate,55-59,46028,45160,80262,71408,3.3
8747,22,Urban,Literate,60-64,35592,34309,64733,58226,3.45
8748,22,Urban,Literate,65-69,22472,21111,42658,38007,3.59
8749,22,Urban,Literate,70-74,13317,12875,26903,24184,3.84
8750,22,Urban,Literate,75-79,6647,6471,14512,12879,4.12
8751,22,Urban,Literate,80+,7645,6692,13702,12314,3.4
8752,22,Urban,Literate but below primary,All Ages,335044,112880,183550,169941,1.06
8753,22,Urban,Literate but below primary,Less than 15,209245,1026,140,117,0.0
8754,22,Urban,Literate but below primary,15-19,10964,2007,591,576,0.11
8755,22,Urban,Literate but below primary,20-24,11642,9044,6077,5691,1.01
8756,22,Urban,Literate but below primary,25-29,12642,11882,13303,12714,2.06
8757,22,Urban,Literate but below primary,30-34,13548,13185,18585,17802,2.69
8758,22,Urban,Literate but below primary,35-39,14272,14045,22005,20939,3.01
8759,22,Urban,Literate but below primary,40-44,13077,12905,22092,20450,3.25
8760,22,Urban,Literate but below primary,45-49,11711,11618,21032,19557,3.47
8761,22,Urban,Literate but below primary,50-54,8890,8823,17108,15555,3.67
8762,22,Urban,Literate but below primary,55-59,7059,7027,14334,12649,3.82
8763,22,Urban,Literate but below primary,60-64,7129,7013,14865,13678,4.0
8764,22,Urban,Literate but below primary,65-69,5807,5730,12967,11792,4.26
8765,22,Urban,Literate but below primary,70-74,4087,4043,9490,8569,4.42
8766,22,Urban,Literate but below primary,75-79,2227,2209,5481,4864,4.65
8767,22,Urban,Literate but below primary,80+,2252,2171,5259,4808,4.47
8768,22,Urban,Primary but below middle,All Ages,443965,241640,334848,310300,1.45
8769,22,Urban,Primary but below middle,Less than 15,155822,2478,388,359,0.0
8770,22,Urban,Primary but below middle,15-19,40365,6718,1784,1576,0.08
8771,22,Urban,Primary but below middle,20-24,44311,34825,22195,21576,0.99
8772,22,Urban,Primary but below middle,25-29,40247,37882,39801,38123,1.94
8773,22,Urban,Primary but below middle,30-34,32068,31040,40933,39430,2.51
8774,22,Urban,Primary but below middle,35-39,30203,29727,44164,41975,2.85
8775,22,Urban,Primary but below middle,40-44,25503,25187,40909,38491,3.11
8776,22,Urban,Primary but below middle,45-49,22387,22207,38958,35185,3.31
8777,22,Urban,Primary but below middle,50-54,16826,16678,31718,28211,3.56
8778,22,Urban,Primary but below middle,55-59,12167,12104,24586,21893,3.82
8779,22,Urban,Primary but below middle,60-64,10076,9587,20209,17750,3.77
8780,22,Urban,Primary but below middle,65-69,6041,5835,12872,11190,3.98
8781,22,Urban,Primary but below middle,70-74,3576,3506,7938,7010,4.18
8782,22,Urban,Primary but below middle,75-79,1817,1793,4157,3818,4.39
8783,22,Urban,Primary but below middle,80+,1993,1739,3827,3300,3.58
8784,22,Urban,Middle but below matric or secondary,All Ages,355323,208608,242397,225441,1.32
8785,22,Urban,Middle but below matric or secondary,Less than 15,49339,1325,463,388,0.02
8786,22,Urban,Middle but below matric or secondary,15-19,85776,8981,1712,1492,0.04
8787,22,Urban,Middle but below matric or secondary,20-24,52669,37736,21509,20545,0.8
8788,22,Urban,Middle but below matric or secondary,25-29,43820,40174,38369,36975,1.72
8789,22,Urban,Middle but below matric or secondary,30-34,32471,31228,37893,35733,2.27
8790,22,Urban,Middle but below matric or secondary,35-39,27424,26875,36950,34399,2.6
8791,22,Urban,Middle but below matric or secondary,40-44,20019,19764,29627,27381,2.85
8792,22,Urban,Middle but below matric or secondary,45-49,14807,14656,23538,21783,3.06
8793,22,Urban,Middle but below matric or secondary,50-54,10095,10017,17678,15750,3.31
8794,22,Urban,Middle but below matric or secondary,55-59,6915,6844,13039,11559,3.56
8795,22,Urban,Middle but below matric or secondary,60-64,5072,4877,9599,8622,3.59
8796,22,Urban,Middle but below matric or secondary,65-69,3037,2687,5380,4789,3.35
8797,22,Urban,Middle but below matric or secondary,70-74,1652,1601,3115,2932,3.66
8798,22,Urban,Middle but below matric or secondary,75-79,815,778,1716,1464,3.9
8799,22,Urban,Middle but below matric or secondary,80+,1015,810,1529,1365,2.85
8800,22,Urban,Matric or secondary but below graduate,All Ages,502400,299763,299063,271837,1.14
8801,22,Urban,Matric or secondary but below graduate,Less than 15,0,0,0,0,
8802,22,Urban,Matric or secondary but below graduate,15-19,134908,10389,1533,1423,0.02
8803,22,Urban,Matric or secondary but below graduate,20-24,110832,48780,20681,19346,0.36
8804,22,Urban,Matric or secondary but below graduate,25-29,62881,53900,42465,39189,1.3
8805,22,Urban,Matric or secondary but below graduate,30-34,50826,48264,49773,45735,1.88
8806,22,Urban,Matric or secondary but below graduate,35-39,43035,41791,48574,43946,2.15
8807,22,Urban,Matric or secondary but below graduate,40-44,32722,31991,40234,36330,2.34
8808,22,Urban,Matric or secondary but below graduate,45-49,23494,22974,31032,27957,2.51
8809,22,Urban,Matric or secondary but below graduate,50-54,16165,15837,23269,20709,2.72
8810,22,Urban,Matric or secondary but below graduate,55-59,11097,10828,16958,15109,2.89
8811,22,Urban,Matric or secondary but below graduate,60-64,7320,7145,11499,10450,3.0
8812,22,Urban,Matric or secondary but below graduate,65-69,4340,3810,6477,5726,2.81
8813,22,Urban,Matric or secondary but below graduate,70-74,2063,1903,3205,2903,2.96
8814,22,Urban,Matric or secondary but below graduate,75-79,934,879,1673,1439,3.33
8815,22,Urban,Matric or secondary but below graduate,80+,1152,889,1332,1258,2.25
8816,22,Urban,Graduate and above,All Ages,279850,212021,171006,153949,1.16
8817,22,Urban,Graduate and above,Less than 15,0,0,0,0,
8818,22,Urban,Graduate and above,15-19,0,0,0,0,
8819,22,Urban,Graduate and above,20-24,51821,16090,4441,4054,0.16
8820,22,Urban,Graduate and above,25-29,64457,43946,22268,20299,0.66
8821,22,Urban,Graduate and above,30-34,49952,44427,34644,31259,1.32
8822,22,Urban,Graduate and above,35-39,38206,36013,32653,29075,1.62
8823,22,Urban,Graduate and above,40-44,28609,27340,27052,24219,1.79
8824,22,Urban,Graduate and above,45-49,20208,19326,20059,18273,1.9
8825,22,Urban,Graduate and above,50-54,11666,11103,12709,11306,2.06
8826,22,Urban,Graduate and above,55-59,6631,6234,7457,6747,2.14
8827,22,Urban,Graduate and above,60-64,4056,3795,4930,4467,2.32
8828,22,Urban,Graduate and above,65-69,1906,1763,2396,2140,2.38
8829,22,Urban,Graduate and above,70-74,967,864,1188,1064,2.33
8830,22,Urban,Graduate and above,75-79,408,373,516,438,2.34
8831,22,Urban,Graduate and above,80+,591,481,522,448,1.64
8832,23,Total,Total,All Ages,35014503,19596873,31709498,28655226,1.72
8833,23,Total,Total,Less than 15,11678973,118597,24206,21681,0.0
8834,23,Total,Total,15-19,3466717,741735,179844,164034,0.1
8835,23,Total,Total,20-24,3173491,2398495,1536303,1456958,0.94
8836,23,Total,Total,25-29,2799181,2630188,2954593,2784408,2.05
8837,23,Total,Total,30-34,2564255,2515388,3702889,3505384,2.81
8838,23,Total,Total,35-39,2368207,2344951,4019398,3746534,3.28
8839,23,Total,Total,40-44,2020586,2006156,3807837,3459046,3.6
8840,23,Total,Total,45-49,1684163,1674389,3415554,3033719,3.83
8841,23,Total,Total,50-54,1247850,1240232,2663648,2321614,4.0
8842,23,Total,Total,55-59,1027834,1021529,2331923,2019413,4.23
8843,23,Total,Total,60-64,997947,983223,2316435,2017159,4.34
8844,23,Total,Total,65-69,747056,732692,1810185,1573757,4.53
8845,23,Total,Total,70-74,562175,554716,1377734,1198521,4.58
8846,23,Total,Total,75-79,278548,274739,707055,611363,4.73
8847,23,Total,Total,80+,358034,341140,837746,720788,4.35
8848,23,Total,Illiterate,All Ages,17337662,10988003,21509550,19390192,2.36
8849,23,Total,Illiterate,Less than 15,5954894,27136,12568,11329,0.0
8850,23,Total,Illiterate,15-19,547369,257496,90120,82315,0.32
8851,23,Total,Illiterate,20-24,939709,878142,681788,651298,1.42
8852,23,Total,Illiterate,25-29,1100043,1084297,1441749,1369873,2.56
8853,23,Total,Illiterate,30-34,1215857,1207909,2051379,1964114,3.3
8854,23,Total,Illiterate,35-39,1296698,1291150,2500958,2352319,3.74
8855,23,Total,Illiterate,40-44,1219001,1214791,2573652,2343056,4.03
8856,23,Total,Illiterate,45-49,1087937,1084886,2437367,2165902,4.23
8857,23,Total,Illiterate,50-54,837229,834651,1944557,1698915,4.35
8858,23,Total,Illiterate,55-59,740313,738005,1794838,1555809,4.53
8859,23,Total,Illiterate,60-64,770391,766230,1882442,1640935,4.57
8860,23,Total,Illiterate,65-69,604372,600596,1530997,1332923,4.74
8861,23,Total,Illiterate,70-74,475336,471661,1199744,1043963,4.72
8862,23,Total,Illiterate,75-79,234681,233011,614625,530840,4.88
8863,23,Total,Illiterate,80+,296254,289831,739462,635245,4.64
8864,23,Total,Literate,All Ages,17676841,8608870,10199948,9265034,1.1
8865,23,Total,Literate,Less than 15,5724079,91461,11638,10352,0.0
8866,23,Total,Literate,15-19,2919348,484239,89724,81719,0.06
8867,23,Total,Literate,20-24,2233782,1520353,854515,805660,0.74
8868,23,Total,Literate,25-29,1699138,1545891,1512844,1414535,1.72
8869,23,Total,Literate,30-34,1348398,1307479,1651510,1541270,2.37
8870,23,Total,Literate,35-39,1071509,1053801,1518440,1394215,2.72
8871,23,Total,Literate,40-44,801585,791365,1234185,1115990,2.93
8872,23,Total,Literate,45-49,596226,589503,978187,867817,3.1
8873,23,Total,Literate,50-54,410621,405581,719091,622699,3.27
8874,23,Total,Literate,55-59,287521,283524,537085,463604,3.48
8875,23,Total,Literate,60-64,227556,216993,433993,376224,3.56
8876,23,Total,Literate,65-69,142684,132096,279188,240834,3.64
8877,23,Total,Literate,70-74,86839,83055,177990,154558,3.83
8878,23,Total,Literate,75-79,43867,41728,92430,80523,3.94
8879,23,Total,Literate,80+,61780,51309,98284,85543,2.98
8880,23,Total,Literate but below primary,All Ages,4339265,1118226,1700438,1547881,0.75
8881,23,Total,Literate but below primary,Less than 15,3061105,24665,1632,1534,0.0
8882,23,Total,Literate but below primary,15-19,192435,46357,10857,9770,0.11
8883,23,Total,Literate but below primary,20-24,162473,139317,95395,90769,1.15
8884,23,Total,Literate but below primary,25-29,158341,154719,184882,174579,2.27
8885,23,Total,Literate but below primary,30-34,156219,154198,231655,218511,2.88
8886,23,Total,Literate but below primary,35-39,142908,141937,239687,223536,3.24
8887,23,Total,Literate but below primary,40-44,119657,119029,217220,198380,3.47
8888,23,Total,Literate but below primary,45-49,94545,94170,181378,162008,3.63
8889,23,Total,Literate but below primary,50-54,68040,67715,137583,120889,3.8
8890,23,Total,Literate but below primary,55-59,51468,51228,110374,95322,4.0
8891,23,Total,Literate but below primary,60-64,46777,45310,101417,88027,4.05
8892,23,Total,Literate but below primary,65-69,32834,32043,75900,66164,4.33
8893,23,Total,Literate but below primary,70-74,22634,22251,53305,46743,4.42
8894,23,Total,Literate but below primary,75-79,11884,11706,29170,25305,4.58
8895,23,Total,Literate but below primary,80+,13953,12719,28894,25425,3.89
8896,23,Total,Primary but below middle,All Ages,5237769,2527373,3314128,3024079,1.21
8897,23,Total,Primary but below middle,Less than 15,2103263,47034,4945,4377,0.0
8898,23,Total,Primary but below middle,15-19,688472,153609,32383,29553,0.09
8899,23,Total,Primary but below middle,20-24,536222,456324,295800,280233,1.07
8900,23,Total,Primary but below middle,25-29,449906,437839,497536,469121,2.15
8901,23,Total,Primary but below middle,30-34,374952,368942,527953,498358,2.74
8902,23,Total,Primary but below middle,35-39,306750,304185,490736,454846,3.08
8903,23,Total,Primary but below middle,40-44,229570,227857,396002,359586,3.29
8904,23,Total,Primary but below middle,45-49,173729,172818,320300,283693,3.48
8905,23,Total,Primary but below middle,50-54,120046,119217,234818,203304,3.65
8906,23,Total,Primary but below middle,55-59,84987,84461,176607,151502,3.86
8907,23,Total,Primary but below middle,60-64,70353,65337,141169,121396,3.73
8908,23,Total,Primary but below middle,65-69,41408,39117,88172,74992,3.94
8909,23,Total,Primary but below middle,70-74,24135,22994,51550,44094,3.96
8910,23,Total,Primary but below middle,75-79,11975,11502,26109,22779,4.08
8911,23,Total,Primary but below middle,80+,17475,13937,27356,23897,2.93
8912,23,Total,Middle but below matric or secondary,All Ages,3336421,1792132,1926795,1760631,1.11
8913,23,Total,Middle but below matric or secondary,Less than 15,489520,17015,4200,3666,0.02
